nikkei_event_date,nikkei_event_type,code,ticker,company,sector,normalized_top30_weight,component_breakdown20,component_breakdown60,component_volume_down,component_breakdown20_volume_confirmed,component_breakdown60_volume_confirmed,component_near_support20,component_low_volume_pullback,component_volume_ratio_60d,component_1d_return
2022-06-29,volume_down_day,5803,5803.T,FUJIKURA LTD.,Materials,0.02514062,False,False,False,False,False,False,False,0.801760,-0.02005016
2022-06-29,volume_down_day,6098,6098.T,"RECRUIT HOLDINGS CO., LTD.",Consumer Goods,0.02005584,False,False,False,False,False,False,False,0.775943,0.00173740
2022-06-29,volume_down_day,9766,9766.T,KONAMI GROUP CORP.,Consumer Goods,0.01980700,False,False,True,False,False,False,False,1.452762,-0.00389105
2022-06-29,volume_down_day,6971,6971.T,KYOCERA CORP.,Technology,0.01948930,False,False,True,False,False,False,False,1.557305,-0.01200108
2022-06-29,volume_down_day,6367,6367.T,"DAIKIN INDUSTRIES, LTD.",Capital Goods/Others,0.01914186,False,False,True,False,False,False,False,2.105594,-0.00973952
2022-06-29,volume_down_day,8015,8015.T,TOYOTA TSUSHO CORP.,Materials,0.01828579,False,False,False,False,False,False,False,1.183253,-0.01301518
2022-06-29,volume_down_day,4543,4543.T,TERUMO CORP.,Technology,0.01727635,False,False,True,False,False,False,False,1.402060,-0.00437850
2022-06-29,volume_down_day,6758,6758.T,SONY GROUP CORP.,Technology,0.01643749,False,False,True,False,False,False,False,1.648128,-0.00991379
2022-06-29,volume_down_day,8058,8058.T,MITSUBISHI CORP.,Materials,0.01634046,False,False,True,False,False,False,False,1.848508,-0.00122366
2022-06-29,volume_down_day,7203,7203.T,TOYOTA MOTOR CORP.,Technology,0.01619648,False,False,True,False,False,False,False,1.368270,-0.01822376
2022-06-29,volume_down_day,6988,6988.T,NITTO DENKO CORP.,Materials,0.01569411,False,False,True,False,False,True,False,1.661550,-0.01548673
2022-06-29,volume_down_day,4062,4062.T,"IBIDEN CO., LTD.",Technology,0.01510409,False,False,False,False,False,False,False,0.820789,-0.00126904
2022-06-29,volume_down_day,6920,6920.T,LASERTEC CORP.,Technology,0.01366583,False,False,False,False,False,False,False,1.004390,-0.01296405
2022-06-29,volume_down_day,7741,7741.T,HOYA CORP.,Technology,0.01360010,False,False,True,False,False,False,False,1.734301,-0.01496259
2022-06-29,volume_down_day,4503,4503.T,ASTELLAS PHARMA INC.,Technology,0.01290366,False,False,True,False,False,False,False,1.615367,-0.02071006
2022-06-29,volume_down_day,6146,6146.T,DISCO CORP.,Technology,0.01254683,False,False,True,False,False,False,False,1.393203,-0.01780415
2022-06-29,volume_down_day,9735,9735.T,"SECOM CO., LTD.",Consumer Goods,0.01236686,False,False,False,False,False,False,False,1.441693,0.00225814
2022-06-29,volume_down_day,8031,8031.T,"MITSUI & CO., LTD.",Materials,0.01220879,False,False,False,False,False,False,False,0.990033,-0.00457965
2022-06-29,volume_down_day,7832,7832.T,BANDAI NAMCO HOLDINGS INC.,Capital Goods/Others,0.01188483,False,False,False,False,False,False,False,1.406211,0.02153558
2022-06-29,volume_down_day,4578,4578.T,"OTSUKA HOLDINGS CO., LTD.",Technology,0.01127916,False,False,True,False,False,False,False,1.601732,-0.02634245
2022-06-29,volume_down_day,8766,8766.T,"TOKIO MARINE HOLDINGS, INC.",Financials,0.01123064,False,False,True,False,False,False,False,2.328970,-0.01893248
2022-08-29,near_support_20d,6857,6857.T,ADVANTEST CORP.,Technology,0.16661606,False,False,False,False,False,False,False,0.911898,-0.04186603
2022-08-29,near_support_20d,9983,9983.T,"FAST RETAILING CO., LTD.",Consumer Goods,0.15152762,False,False,False,False,False,False,False,0.869722,-0.02802310
2022-08-29,near_support_20d,8035,8035.T,TOKYO ELECTRON LTD.,Technology,0.11442080,False,False,False,False,False,True,False,1.032427,-0.05101373
2022-08-29,near_support_20d,9984,9984.T,SOFTBANK GROUP CORP.,Technology,0.08740528,False,False,False,False,False,False,False,1.002602,-0.03663453
2022-08-29,near_support_20d,9433,9433.T,KDDI CORP.,Technology,0.03348065,False,False,False,False,False,False,False,0.921902,-0.01403837
2022-08-29,near_support_20d,4063,4063.T,"SHIN-ETSU CHEMICAL CO., LTD.",Materials,0.03205961,True,False,False,False,False,False,False,1.192976,-0.03181149
2022-08-29,near_support_20d,6762,6762.T,TDK CORP.,Technology,0.03021131,False,False,False,False,False,False,False,0.826384,-0.03293413
2022-08-29,near_support_20d,6954,6954.T,FANUC CORP.,Technology,0.02715794,False,False,False,False,False,False,False,1.008689,-0.03441600
2022-08-29,near_support_20d,4519,4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",Technology,0.02646463,False,False,False,False,False,True,True,0.755762,-0.01700405
2022-08-29,near_support_20d,5803,5803.T,FUJIKURA LTD.,Materials,0.02514062,False,False,False,False,False,False,False,0.916525,0.00610376
2022-08-29,near_support_20d,6098,6098.T,"RECRUIT HOLDINGS CO., LTD.",Consumer Goods,0.02005584,True,False,True,True,False,False,False,1.539563,-0.04516830
2022-08-29,near_support_20d,9766,9766.T,KONAMI GROUP CORP.,Consumer Goods,0.01980700,False,False,False,False,False,False,False,0.942972,-0.02206897
2022-08-29,near_support_20d,6971,6971.T,KYOCERA CORP.,Technology,0.01948930,False,False,True,False,False,False,False,1.237151,-0.03095421
2022-08-29,near_support_20d,6367,6367.T,"DAIKIN INDUSTRIES, LTD.",Capital Goods/Others,0.01914186,False,False,True,False,False,False,False,1.224860,-0.04694280
2022-08-29,near_support_20d,8015,8015.T,TOYOTA TSUSHO CORP.,Materials,0.01828579,False,False,False,False,False,False,False,0.991054,-0.02299995
2022-08-29,near_support_20d,4543,4543.T,TERUMO CORP.,Technology,0.01727635,False,False,True,False,False,False,False,1.322805,-0.04794521
2022-08-29,near_support_20d,6758,6758.T,SONY GROUP CORP.,Technology,0.01643749,False,False,False,False,False,False,False,0.904792,-0.01867941
2022-08-29,near_support_20d,8058,8058.T,MITSUBISHI CORP.,Materials,0.01634046,False,False,False,False,False,False,False,0.793092,-0.00439751
2022-08-29,near_support_20d,7203,7203.T,TOYOTA MOTOR CORP.,Technology,0.01619648,False,False,False,False,False,True,True,0.892913,-0.00853890
2022-08-29,near_support_20d,6988,6988.T,NITTO DENKO CORP.,Materials,0.01569411,False,False,False,False,False,False,False,1.031127,-0.02505695
2022-08-29,near_support_20d,4062,4062.T,"IBIDEN CO., LTD.",Technology,0.01510409,False,False,False,False,False,False,False,0.965050,-0.04063205
2022-08-29,near_support_20d,6920,6920.T,LASERTEC CORP.,Technology,0.01366583,False,False,False,False,False,False,False,0.675735,-0.05640772
2022-08-29,near_support_20d,7741,7741.T,HOYA CORP.,Technology,0.01360010,False,False,False,False,False,False,False,0.870108,-0.03162190
2022-08-29,near_support_20d,4503,4503.T,ASTELLAS PHARMA INC.,Technology,0.01290366,False,False,False,False,False,True,True,0.986738,-0.01226533
2022-08-29,near_support_20d,6146,6146.T,DISCO CORP.,Technology,0.01254683,False,False,False,False,False,False,False,0.772188,-0.03423681
2022-08-29,near_support_20d,9735,9735.T,"SECOM CO., LTD.",Consumer Goods,0.01236686,False,False,False,False,False,True,False,1.013282,-0.02111968
2022-08-29,near_support_20d,8031,8031.T,"MITSUI & CO., LTD.",Materials,0.01220879,False,False,False,False,False,False,False,0.868540,-0.01092564
