nikkei_breakout_date,nikkei_event_type,nikkei_5d_fallback,code,ticker,company,sector,official_weight,normalized_top30_weight,component_breakout20,component_breakout60,component_volume_confirmed,component_volume_ratio_60d,component_breakout20_volume_confirmed,component_breakout60_volume_confirmed,component_breakout20_5d_no_fallback,component_breakout60_5d_no_fallback,component_close_position20
2017-03-02,breakout_20d,True,4519,4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",Technology,0.01691000,0.02646463,False,False,False,1.052740,False,False,False,False,0.633334
2017-03-02,breakout_20d,True,5803,5803.T,FUJIKURA LTD.,Materials,0.01606400,0.02514062,False,False,False,0.732315,False,False,False,False,0.907895
2017-03-02,breakout_20d,True,6098,6098.T,"RECRUIT HOLDINGS CO., LTD.",Consumer Goods,0.01281500,0.02005584,False,False,False,1.152957,False,False,False,False,0.771930
2017-03-02,breakout_20d,True,9766,9766.T,KONAMI GROUP CORP.,Consumer Goods,0.01265600,0.01980700,True,False,True,1.234281,True,False,False,False,1.250000
2017-03-02,breakout_20d,True,6971,6971.T,KYOCERA CORP.,Technology,0.01245300,0.01948930,True,True,False,1.181076,False,False,False,False,1.335121
2017-03-02,breakout_20d,True,6367,6367.T,"DAIKIN INDUSTRIES, LTD.",Capital Goods/Others,0.01223100,0.01914186,False,False,False,1.117202,False,False,False,False,0.404145
2017-03-02,breakout_20d,True,8015,8015.T,TOYOTA TSUSHO CORP.,Materials,0.01168400,0.01828579,True,True,True,1.498506,True,True,False,False,1.057142
2017-03-02,breakout_20d,True,4543,4543.T,TERUMO CORP.,Technology,0.01103900,0.01727635,False,False,True,1.397766,False,False,False,False,0.442623
2017-03-02,breakout_20d,True,6758,6758.T,SONY GROUP CORP.,Technology,0.01050300,0.01643749,False,False,False,0.946941,False,False,False,False,0.843065
2017-03-02,breakout_20d,True,8058,8058.T,MITSUBISHI CORP.,Materials,0.01044100,0.01634046,False,False,False,1.033377,False,False,False,False,0.221025
2017-03-02,breakout_20d,True,7203,7203.T,TOYOTA MOTOR CORP.,Technology,0.01034900,0.01619648,False,False,False,0.901285,False,False,False,False,0.766872
2017-03-02,breakout_20d,True,6988,6988.T,NITTO DENKO CORP.,Materials,0.01002800,0.01569411,False,False,True,1.319563,False,False,False,False,0.796919
2017-03-02,breakout_20d,True,4062,4062.T,"IBIDEN CO., LTD.",Technology,0.00965100,0.01510409,False,False,False,1.103393,False,False,False,False,0.670507
2017-03-02,breakout_20d,True,6920,6920.T,LASERTEC CORP.,Technology,0.00873200,0.01366583,False,False,False,0.755845,False,False,False,False,0.788066
2017-03-02,breakout_20d,True,7741,7741.T,HOYA CORP.,Technology,0.00869000,0.01360010,True,True,False,1.192796,False,False,True,True,1.231638
2017-03-02,breakout_20d,True,4503,4503.T,ASTELLAS PHARMA INC.,Technology,0.00824500,0.01290366,False,False,False,1.076331,False,False,False,False,0.841530
2017-03-02,breakout_20d,True,6146,6146.T,DISCO CORP.,Technology,0.00801700,0.01254683,True,True,False,1.023680,False,False,True,True,1.070988
2017-03-02,breakout_20d,True,9735,9735.T,"SECOM CO., LTD.",Consumer Goods,0.00790200,0.01236686,False,False,False,0.850270,False,False,False,False,0.712054
2017-03-02,breakout_20d,True,8031,8031.T,"MITSUI & CO., LTD.",Materials,0.00780100,0.01220879,False,False,False,0.798354,False,False,False,False,0.825112
2017-03-02,breakout_20d,True,7832,7832.T,BANDAI NAMCO HOLDINGS INC.,Capital Goods/Others,0.00759400,0.01188483,False,False,False,0.939421,False,False,False,False,0.945455
2017-03-02,breakout_20d,True,4578,4578.T,"OTSUKA HOLDINGS CO., LTD.",Technology,0.00720700,0.01127916,False,False,False,0.509551,False,False,False,False,0.209746
2017-03-02,breakout_20d,True,8766,8766.T,"TOKIO MARINE HOLDINGS, INC.",Financials,0.00717600,0.01123064,False,False,False,1.093348,False,False,False,False,0.751592
2017-04-26,breakout_20d,True,6857,6857.T,ADVANTEST CORP.,Technology,0.10646200,0.16661606,True,True,True,1.458659,True,True,False,False,1.097643
2017-04-26,breakout_20d,True,9983,9983.T,"FAST RETAILING CO., LTD.",Consumer Goods,0.09682100,0.15152762,False,False,False,0.919360,False,False,False,False,1.000000
2017-04-26,breakout_20d,True,8035,8035.T,TOKYO ELECTRON LTD.,Technology,0.07311100,0.11442080,True,True,True,1.263017,True,True,True,True,1.181132
2017-04-26,breakout_20d,True,9984,9984.T,SOFTBANK GROUP CORP.,Technology,0.05584900,0.08740528,True,False,False,1.001636,False,False,True,False,1.019883
2017-04-26,breakout_20d,True,9433,9433.T,KDDI CORP.,Technology,0.02139300,0.03348065,False,False,False,1.091874,False,False,False,False,0.256131
2017-04-26,breakout_20d,True,4063,4063.T,"SHIN-ETSU CHEMICAL CO., LTD.",Materials,0.02048500,0.03205961,False,False,False,0.803350,False,False,False,False,0.837176
2017-04-26,breakout_20d,True,6762,6762.T,TDK CORP.,Technology,0.01930400,0.03021131,False,False,True,1.451572,False,False,False,False,0.753086
2017-04-26,breakout_20d,True,6954,6954.T,FANUC CORP.,Technology,0.01735300,0.02715794,False,False,True,1.284691,False,False,False,False,0.914201
