adjustment,base_position,date,equity_before,price,regime,target_position,type
,,2024-10-07,13361586.17,39239.9219,,0.26,execute
-1,0.25,2024-10-07,,,range,0.00,signal
,,2024-10-08,13342110.44,39021.1289,,0.00,execute
0,0.25,2024-10-08,,,range,0.25,signal
,,2024-10-09,13342165.63,39385.4883,,0.25,execute
-1,0.25,2024-10-15,,,range,0.00,signal
,,2024-10-16,13340240.89,39362.6289,,0.00,execute
0,0.25,2024-10-16,,,range,0.25,signal
,,2024-10-17,13340134.03,39263.8203,,0.25,execute
-1,0.25,2024-11-08,,,range,0.00,signal
,,2024-11-11,13353148.04,39417.2109,,0.00,execute
0,0.25,2024-11-13,,,range,0.25,signal
,,2024-11-14,13352935.07,38911.0391,,0.25,execute
-1,0.25,2024-11-14,,,range,0.00,signal
,,2024-11-15,13339219.14,38749.5586,,0.00,execute
0,0.25,2024-11-18,,,range,0.25,signal
,,2024-11-19,13339219.14,38396.7188,,0.25,execute
-1,0.25,2024-11-19,,,range,0.00,signal
,,2024-11-20,13345944.22,38475.6992,,0.00,execute
0,0.24,2024-11-21,,,range,0.24,signal
,,2024-11-22,13345944.22,38146.9805,,0.24,execute
-1,0.25,2024-11-25,,,range,0.00,signal
,,2024-11-26,13384364.11,38596.7617,,0.00,execute
0,0.25,2024-11-26,,,range,0.25,signal
,,2024-11-27,13384364.11,38327.8594,,0.25,execute
-1,0.25,2024-12-04,,,range,0.00,signal
,,2024-12-05,13494618.51,39610.4297,,0.00,execute
0,0.25,2024-12-17,,,bull,0.25,signal
,,2024-12-18,13494592.81,39176.8789,,0.25,execute
-1,0.25,2024-12-18,,,bull,0.00,signal
,,2024-12-19,13438087.89,38522.2695,,0.00,execute
0,0.25,2024-12-19,,,bull,0.25,signal
,,2024-12-20,13438087.89,38950.2812,,0.25,execute
-1,0.25,2024-12-20,,,bull,0.00,signal
,,2024-12-23,13445824.52,39040.7188,,0.00,execute
0,0.25,2024-12-26,,,bull,0.25,signal
,,2024-12-27,13445824.52,39672.1484,,0.25,execute
-1,0.25,2025-02-03,,,range,0.00,signal
,,2025-02-04,13395222.94,39078.6602,,0.00,execute
