exit_rule,holding_days,exit_day,realized_return,realized_drawdown,realized_runup,trade_date,config_key
hold_15d,15,15,-0.04003267973856206,-0.054738562091503296,0.0043301052517361605,2016-11-15,ret-0.025_ma-0.020_risk0
hold_10d,10,10,-0.04618276840975233,-0.051822807870571586,0.001307810653922381,2016-11-16,ret-0.025_ma-0.020_risk0
hold_15d,15,15,-0.04381230547351733,-0.054274990264009726,0.001307810653922381,2016-11-16,ret-0.025_ma-0.020_risk0
hold_10d,10,10,-0.034032079255291836,-0.04644471845458287,-0.0022194419826345735,2016-11-17,ret-0.025_ma-0.020_risk0
hold_15d,15,15,-0.046937916634556154,-0.049732840115084276,-0.0022194419826345735,2016-11-17,ret-0.025_ma-0.020_risk0
hold_10d,10,10,-0.028547786512205242,-0.0426148117501034,0.004385642389842737,2016-11-18,ret-0.025_ma-0.020_risk0
hold_15d,15,15,-0.03723624327678943,-0.04592470004137361,0.004385642389842737,2016-11-18,ret-0.025_ma-0.020_risk0
hold_10d,10,10,-0.016230701500353106,-0.026995186481372224,0.004793603026842952,2016-11-23,ret-0.025_ma-0.020_risk0
hold_15d,15,15,-0.05155153310604221,-0.054831345143832255,0.004793603026842952,2016-11-23,ret-0.025_ma-0.020_risk0
hold_10d,10,10,-0.015956482377302295,-0.018842261154224493,0.014089372215419838,2016-11-25,ret-0.025_ma-0.020_risk0
hold_15d,15,15,-0.036411393754583354,-0.04608719148545548,0.014089372215419838,2016-11-25,ret-0.025_ma-0.020_risk0
hold_10d,10,10,-0.00811410967185111,-0.02459860576274442,0.01358037383041144,2016-11-30,ret-0.025_ma-0.020_risk0
hold_15d,15,15,-0.03390849981764521,-0.040058099127178504,0.01358037383041144,2016-11-30,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.019684297047994015,-0.001152729891682358,0.03032448101719054,2016-12-15,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.04938814396200075,-0.001152729891682358,0.04947679051423437,2016-12-15,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.03607112519562161,-0.002475401660549159,0.04614983146396634,2016-12-21,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.05675897323658785,-0.002475401660549159,0.06471582956605415,2016-12-21,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.033760900974865615,-0.010177946899565526,0.033926354985519325,2017-03-08,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.03715351627146246,-0.010177946899565526,0.04071158557871324,2017-03-08,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.020546230062678417,-0.01019160211985326,0.027313493681206724,2017-05-04,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.023889155179881882,-0.01019160211985326,0.028617998847074944,2017-05-04,ret-0.025_ma-0.020_risk0
hold_10d,10,10,0.02277914862139685,-0.008817805680574886,0.028739345010276418,2017-05-05,ret-0.025_ma-0.020_risk0
hold_15d,15,15,0.034944419539142624,-0.008817805680574886,0.034944419539142624,2017-05-05,ret-0.025_ma-0.020_risk0
