config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,cagr,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,total_hold_trading_days,return_per_hold_day,partial_exit_ratio,anchor_return_threshold,anchor_window_end_day,trailing_drawdown,trailing_start_offset,unmet_exit_day
p0.50_thr0.005_win15_dd0.012_off2_unmet30,56,2088445.0515294038,1.088445051529404,-0.14721144940087472,7.3937527003448995,0.07403496537558474,0.7321428571428571,0.01345764647392088,0.01127354349964041,21.803571428571427,24.0,1221.0,0.0006172221151020224,0.5,0.005,15,0.012,2,30
p0.50_thr0.005_win15_dd0.012_off2_unmet45,53,2178736.534074111,1.178736534074111,-0.1472114494008746,8.007098217369416,0.07845291236560192,0.7169811320754716,0.015052491479691907,0.013875487703593092,24.58490566037736,24.0,1303.0,0.0006122655782223108,0.5,0.005,15,0.012,2,45
p0.50_thr0.005_win15_dd0.012_off2_unmet60,52,2294766.5266691665,1.2947665266691666,-0.1472114494008746,8.795284143581526,0.08389360543542068,0.7307692307692307,0.016385828734724665,0.014530151236585671,26.884615384615383,24.0,1398.0,0.0006094871918495584,0.5,0.005,15,0.012,2,60
p0.50_thr0.005_win15_dd0.015_off0_unmet20,62,2084184.5214579343,1.0841845214579342,-0.14271275123632388,7.596970222111329,0.07382226450293916,0.6774193548387096,0.012136544847839615,0.006330648133262052,16.129032258064516,21.0,1000.0,0.0007524657805660561,0.5,0.005,15,0.015,0,20
p0.50_thr0.005_win15_dd0.015_off0_unmet30,60,2215826.3720883597,1.2158263720883595,-0.14271275123632376,8.519395509901031,0.0802199516608566,0.7,0.01361433869047215,0.008255765342598309,20.516666666666666,23.5,1231.0,0.0006635745909247189,0.5,0.005,15,0.015,0,30
p0.50_thr0.005_win15_dd0.015_off0_unmet45,58,2241432.9080041545,1.2414329080041546,-0.14271275123632376,8.698822615705978,0.08142438235148086,0.6551724137931034,0.014289009944221113,0.012671742509582307,23.396551724137932,22.5,1357.0,0.0006107314493476968,0.5,0.005,15,0.015,0,45
p0.50_thr0.005_win15_dd0.015_off0_unmet60,57,2312331.0849348707,1.3123310849348706,-0.142712751236324,9.195611979771359,0.08469546640815007,0.6666666666666666,0.015122762384792682,0.013842732634124721,25.105263157894736,22.0,1431.0,0.0006023741830420565,0.5,0.005,15,0.015,0,60
p0.50_thr0.005_win15_dd0.015_off2_unmet20,58,2127070.3545367224,1.1270703545367224,-0.14271275123632388,7.897474786050201,0.07594560025382902,0.7413793103448276,0.013322550187671107,0.01006655845172122,17.603448275862068,21.0,1021.0,0.0007568148000831774,0.5,0.005,15,0.015,2,20
p0.50_thr0.005_win15_dd0.015_off2_unmet30,56,2154561.6552067855,1.1545616552067854,-0.1472114494008746,7.842879476465002,0.07728648859116682,0.7321428571428571,0.014048462890513109,0.01127354349964041,22.196428571428573,24.5,1243.0,0.0006329154640939132,0.5,0.005,15,0.015,2,30
p0.50_thr0.005_win15_dd0.015_off2_unmet45,54,2193628.3692195164,1.1936283692195162,-0.1472114494008746,8.108257707381997,0.07916563090948903,0.7037037037037037,0.014909557496657686,0.013859110168858907,25.64814814814815,24.0,1385.0,0.0005813112670177004,0.5,0.005,15,0.015,2,45
