trade_date,policy_name,selected_flag,future_ret_15d,hold_max_drawdown_15d,hold_max_runup_15d,symbol
2025-05-16,drop_bottom_10pct,1,0.0311322136347598,0.002512931120564,0.0483037432015922,159937.SZ
2025-06-27,drop_bottom_10pct,1,0.01080711310584,-0.0067031172038999,0.0179206625153349,159937.SZ
2025-10-28,drop_bottom_10pct,1,0.0214527250157778,-0.0045469930070551,0.0685554763390468,159937.SZ
2025-10-30,drop_bottom_10pct,1,0.0245646764117206,-0.0055356227237362,0.0569715675036697,159937.SZ
2025-10-31,drop_bottom_10pct,1,0.0050170660934327,-0.0167617223639986,0.0450398498827535,159937.SZ
2026-02-02,drop_bottom_10pct,1,0.1331582007755227,0.0139422602120378,0.1497272566543066,159937.SZ
2026-03-17,drop_bottom_10pct,1,-0.049566528441412,-0.1629287613764435,0.0,159937.SZ
2026-03-18,drop_bottom_10pct,1,-0.0660368782298003,-0.1607935435212899,-0.0250354598363464,159937.SZ
2026-03-19,drop_bottom_10pct,1,-0.0137828397064025,-0.1191868775171067,0.0045611826280163,159937.SZ
2026-03-20,drop_bottom_10pct,1,0.0030394866584633,-0.0999999516882306,0.0264437368380623,159937.SZ
2026-03-23,drop_bottom_10pct,1,0.1185433712370336,0.0177030799993289,0.1351259774360127,159937.SZ
2026-03-24,drop_bottom_10pct,1,0.0833962411301034,0.0066889928040752,0.0929981127146526,159937.SZ
2026-03-25,drop_bottom_10pct,1,0.0477478037861456,-0.0293352325470307,0.0538853275325172,159937.SZ
2026-03-26,drop_bottom_10pct,1,0.0615253973575522,-0.0101834854403564,0.0746790618361736,159937.SZ
2021-01-08,rule_baseline,1,-0.0249674180312448,-0.0426526896174164,-0.0124836796201255,159934.SZ
2021-01-11,rule_baseline,1,0.0120128249442896,-0.0096100789212486,0.0138814597824112,159934.SZ
2021-01-12,rule_baseline,1,-0.0039754603961668,-0.0166973650367622,0.0066260668914319,159934.SZ
2021-01-14,rule_baseline,1,-0.0133616773470196,-0.0195083171436579,0.0149653009346517,159934.SZ
